                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0386,                  2.489,                 1.5958,                0.00337,                      1,                0.91879,                0.58667,                0.60823,                 5.9482,                 0.9887,             0.00040008,             0.00040008,             0.00040008
                      2,                0.75605,                 1.4775,                 1.3527,                0.99966,                    0.5,                0.66382,                0.45054,                 0.9441,                 4.0775,                  1.183,              0.0007764,              0.0007764,              0.0007764
                      3,                0.75204,                 1.3578,                 1.3443,                0.90792,                0.95055,                0.96699,                0.61249,                 1.1325,                 4.1892,                 1.1369,              0.0011115,              0.0011115,              0.0011115
                      4,                0.75291,                   1.23,                 1.3106,                0.99876,                0.29817,                0.32561,                0.27734,                 1.4098,                 4.7863,                 1.3488,              0.0014053,              0.0014053,              0.0014053
                      5,                 0.7099,                 1.1346,                 1.2592,                 0.9974,                0.29817,                0.29926,                0.24496,                 1.2592,                 4.6389,                 1.2284,              0.0013369,              0.0013369,              0.0013369
                      6,                0.72171,                 1.0918,                 1.2889,                0.99619,                0.12844,                0.16255,                0.12363,                0.79481,                 4.5758,                 1.0437,              0.0013369,              0.0013369,              0.0013369
                      7,                 0.6758,                 0.9899,                 1.2369,                0.68285,                0.29968,                0.26149,                0.18194,                0.73335,                 2.9449,                0.97104,              0.0012544,              0.0012544,              0.0012544
                      8,                0.67001,                 0.9757,                 1.2506,                0.71747,                0.34641,                0.35006,                0.25637,                0.69667,                  3.425,                 1.0102,              0.0011719,              0.0011719,              0.0011719
                      9,                0.64155,                0.94638,                 1.2377,                 0.9087,                0.25935,                0.27016,                0.11197,                 1.3268,                 2.8954,                 1.4208,              0.0010894,              0.0010894,              0.0010894
                     10,                0.62354,                0.88222,                 1.2016,                0.97537,                0.21534,                0.21629,                0.15853,                0.57246,                 2.0374,                0.82714,              0.0010069,              0.0010069,              0.0010069
                     11,                0.48588,                 1.1747,                 1.2821,                0.99552,                0.31435,                0.31614,                0.25677,                0.50738,                 1.8106,                0.79555,             0.00092435,             0.00092435,             0.00092435
                     12,                 0.4022,                 0.9763,                 1.1562,                0.99744,                0.33451,                 0.3361,                0.28388,                0.42575,                 1.9846,                0.74524,             0.00084184,             0.00084184,             0.00084184
                     13,                0.38014,                0.89159,                 1.1336,                0.99726,                0.24559,                0.24625,                0.21004,                  0.386,                 1.6248,                0.66162,             0.00075932,             0.00075932,             0.00075932
                     14,                 0.3736,                0.84624,                 1.1534,                0.99727,                0.30976,                0.31115,                0.26248,                0.40424,                 1.5726,                0.68217,              0.0006768,              0.0006768,              0.0006768
                     15,                0.36378,                0.79514,                 1.1526,                0.99924,                0.91017,                0.91015,                0.75325,                0.35672,                 1.3975,                0.63317,             0.00059429,             0.00059429,             0.00059429
                     16,                0.33028,                0.73898,                 1.1152,                0.99919,                      1,                  0.995,                0.85614,                0.33792,                 1.3536,                0.62018,             0.00051177,             0.00051177,             0.00051177
                     17,                0.32849,                0.71611,                 1.0647,                0.99923,                      1,                  0.995,                0.82598,                0.34717,                 1.2836,                0.61754,             0.00042925,             0.00042925,             0.00042925
                     18,                0.30301,                0.68393,                 1.0522,                0.99926,                      1,                  0.995,                0.84895,                 0.3193,                 1.2206,                0.60091,             0.00034674,             0.00034674,             0.00034674
                     19,                0.30858,                0.66888,                  1.075,                0.99925,                      1,                  0.995,                0.85603,                0.31569,                 1.1775,                0.59196,             0.00026422,             0.00026422,             0.00026422
                     20,                0.29335,                0.63252,                 1.0504,                0.99919,                      1,                  0.995,                0.86024,                0.31212,                 1.1573,                0.58706,              0.0001817,              0.0001817,              0.0001817
