                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0872,                 1.9275,                 1.6417,                0.70025,                0.10445,                0.10769,                0.08534,                0.66654,                  4.558,                0.93578,             0.00040008,             0.00040008,             0.00040008
                      2,                0.77053,                 1.1318,                 1.3598,                0.66635,                0.03211,                0.04378,                0.02679,                 1.5271,                 8.3399,                 1.5162,              0.0007764,              0.0007764,              0.0007764
                      3,                0.79529,                 1.0691,                 1.3733,                0.17973,                  0.055,                0.03691,                0.02156,                 1.4679,                 3.6779,                 1.7036,              0.0011115,              0.0011115,              0.0011115
                      4,                0.84525,                0.99176,                 1.3893,                0.08791,                0.05958,                0.02951,                0.01427,                 1.6823,                 11.299,                 2.1777,              0.0014053,              0.0014053,              0.0014053
                      5,                0.81728,                0.90135,                 1.3388,                0.74505,                0.02752,                0.01507,                 0.0058,                 3.4172,                 10.577,                 3.1878,              0.0013369,              0.0013369,              0.0013369
                      6,                0.81682,                   0.82,                 1.3756,                0.33299,                0.11181,                0.06675,                0.03973,                 1.1172,                 4.4198,                 1.9582,              0.0013369,              0.0013369,              0.0013369
                      7,                0.70431,                0.70776,                 1.2913,                0.95482,                0.10445,                0.11486,                0.08069,                0.84714,                 1.7178,                 1.2905,              0.0012544,              0.0012544,              0.0012544
                      8,                0.72765,                0.67234,                 1.3014,                0.97828,                0.14296,                0.15246,                 0.1197,                0.96124,                 1.3112,                 1.3942,              0.0011719,              0.0011719,              0.0011719
                      9,                0.70675,                0.68682,                 1.2778,                0.86719,                0.28319,                0.28827,                0.22144,                 0.5671,                  1.203,                0.84364,              0.0010894,              0.0010894,              0.0010894
                     10,                0.64099,                0.62871,                 1.2104,                0.99184,                0.44178,                0.45346,                 0.3617,                0.58806,                0.94947,                0.86531,              0.0010069,              0.0010069,              0.0010069
                     11,                0.59865,                0.61212,                 1.3325,                0.99265,                0.20163,                0.20987,                0.17492,                0.54751,                0.95619,                0.85942,             0.00092435,             0.00092435,             0.00092435
                     12,                0.48362,                0.43497,                  1.223,                0.99532,                0.24105,                 0.2588,                0.21325,                0.47939,                0.93431,                0.78773,             0.00084184,             0.00084184,             0.00084184
                     13,                0.41417,                0.39346,                 1.1684,                0.99383,                 0.1787,                0.20078,                 0.1698,                 0.3849,                 0.6256,                0.67427,             0.00075932,             0.00075932,             0.00075932
                     14,                0.38479,                0.38533,                  1.169,                0.99769,                0.44818,                0.50219,                0.44279,                0.40953,                0.65156,                0.68157,              0.0006768,              0.0006768,              0.0006768
                     15,                0.35081,                0.35402,                 1.1387,                0.99767,                0.67184,                0.71052,                0.62194,                0.46931,                0.66202,                 0.7404,             0.00059429,             0.00059429,             0.00059429
                     16,                0.35377,                0.33061,                 1.1423,                0.99851,                0.69478,                0.73202,                0.64198,                0.39818,                0.71032,                0.67627,             0.00051177,             0.00051177,             0.00051177
                     17,                0.36657,                0.31267,                 1.1075,                0.99857,                0.86339,                0.88263,                0.75324,                0.39544,                0.59347,                0.65862,             0.00042925,             0.00042925,             0.00042925
                     18,                0.33509,                0.29977,                 1.0999,                0.99881,                0.93583,                0.94714,                0.79918,                0.33631,                0.57525,                 0.6214,             0.00034674,             0.00034674,             0.00034674
                     19,                0.33047,                0.28994,                 1.1019,                0.99891,                      1,                  0.995,                 0.8616,                0.38442,                0.56841,                0.65005,             0.00026422,             0.00026422,             0.00026422
                     20,                0.32055,                0.28218,                  1.082,                0.99903,                      1,                  0.995,                0.91535,                0.36955,                0.62768,                0.64987,              0.0001817,              0.0001817,              0.0001817
